,date,bitcoin,close
499,2017-02-14,0.0,0.0036115535229753622
498,2017-02-15,0.0,0.003769420922980107
497,2017-02-16,0.0016403023960045442,0.004844858910725719
496,2017-02-17,0.0032806047920090884,0.005856180104612748
495,2017-02-18,0.0016403023960045442,0.006298532102578254
494,2017-02-19,0.0,0.0059456203380625254
493,2017-02-20,0.0016403023960045442,0.007675696179070125
492,2017-02-21,0.006561209584018181,0.009578725724519769
491,2017-02-22,0.006561209584018181,0.009694028194147811
490,2017-02-23,0.011482116772031814,0.012349217775114926
489,2017-02-24,0.016403023960045445,0.01272422019969957
488,2017-02-25,0.008201511980022726,0.011116451183951616
487,2017-02-26,0.004920907188013633,0.0122673206938838
486,2017-02-27,0.006561209584018181,0.013063123252952068
485,2017-02-28,0.008201511980022726,0.013063123252952068
484,2017-03-01,0.008201511980022726,0.015354625137662527
483,2017-03-02,0.014762721564040902,0.016890734207333235
482,2017-03-03,0.027885140732077266,0.0181827684230717
481,2017-03-04,0.016403023960045445,0.01711379599437066
480,2017-03-05,0.00984181437602727,0.017758735509065784
479,2017-03-06,0.014762721564040902,0.018066388360269567
478,2017-03-07,0.014762721564040902,0.015410659982715404
477,2017-03-08,0.016403023960045445,0.011448349881572511
476,2017-03-09,0.014762721564040902,0.013522177945116025
475,2017-03-10,0.029525443128081818,0.009655234839880433
474,2017-03-11,0.021323931148059087,0.012840061465914647
473,2017-03-12,0.00984181437602727,0.015294279919913282
472,2017-03-13,0.011482116772031814,0.01586217152266071
471,2017-03-14,0.00984181437602727,0.0162975191649946
470,2017-03-15,0.006561209584018181,0.016815302685146666
469,2017-03-16,0.00984181437602727,0.013485539777196832
468,2017-03-17,0.008201511980022726,0.008766759267840095
467,2017-03-18,0.014762721564040902,0.001955831610980247
466,2017-03-19,0.011482116772031814,0.005345939736679333
465,2017-03-20,0.011482116772031814,0.00628829496742436
464,2017-03-21,0.00984181437602727,0.009861055136132344
463,2017-03-22,0.00984181437602727,0.0060140475046174926
462,2017-03-23,0.006561209584018181,0.005445617105283004
461,2017-03-24,0.00984181437602727,0.0
460,2017-03-25,0.011482116772031814,0.0018997967659273654
459,2017-03-26,0.004920907188013633,0.001573824830763994
458,2017-03-27,0.006561209584018181,0.005832473054782681
457,2017-03-28,0.008201511980022726,0.0059068269837951595
456,2017-03-29,0.004920907188013633,0.0055199710342954825
455,2017-03-30,0.004920907188013633,0.004790440455433983
454,2017-03-31,0.004920907188013633,0.007234421774278712
453,2017-04-01,0.0032806047920090884,0.0077037136015965626
452,2017-04-02,0.0032806047920090884,0.008871285805727196
451,2017-04-03,0.006561209584018181,0.011114834794190478
450,2017-04-04,0.004920907188013633,0.010545865598268955
449,2017-04-05,0.0032806047920090884,0.01008950488904023
448,2017-04-06,0.004920907188013633,0.01320913712804178
447,2017-04-07,0.004920907188013633,0.012897712700728673
446,2017-04-08,0.0032806047920090884,0.012846527024959215
445,2017-04-09,0.0032806047920090884,0.013488772556719111
444,2017-04-10,0.004920907188013633,0.013448901609277652
